id,description,alternativeDescription,city,province,cap,address,phone,piva,contributionStart,mail,company_id
3081,AICCRE,,NULL,NULL,,,,NULL,NULL,NULL,1902
3082,"CONAD OLEVANO ROMANO",,NULL,NULL,,,,NULL,NULL,NULL,1903
3083,"AS ROMA SRL",,NULL,NULL,,,,NULL,NULL,NULL,1904
3084,ABACO,,NULL,NULL,,,,NULL,NULL,NULL,1905
3085,"ACCOR HOSPITALITY ITALIA",,NULL,NULL,,,,NULL,NULL,NULL,1906
3086,ACLI,,NULL,NULL,,,,NULL,NULL,NULL,1907
3087,"ACQUA E TERME DI FIUGGI S.P.A.",,Fiuggi,Frosinone,,,,,NULL,,1908
3088,"US ACLI",,NULL,NULL,,,,NULL,NULL,NULL,1909
3089,"ADLER SYSTEM",,NULL,NULL,,,,NULL,NULL,NULL,1910
3090,"ADMIRAL PAY SRL",,NULL,NULL,,,,NULL,NULL,NULL,1911
3091,"ADR INTERNATIONAL SRL - CIVITAVECCHIA",,Civitavecchia,Roma,,,,,NULL,,1912
3092,"AEQUA ROMA S.P.A.",,NULL,NULL,,,,NULL,NULL,NULL,1913
3093,"AGRI RETE SERVICE SOC COOP",,NULL,NULL,,,,NULL,NULL,NULL,1914
3094,"RISPARMIO CASA",,NULL,NULL,,,,NULL,NULL,NULL,1915
3095,"ALBA SRL",,"Trevignano Romano",Roma,00069,"VIALE G. GARIBALDI 141",,10966651001,NULL,,1916
3096,"ALES SPA - PARCO ARCHEOLOGICO DEL COLOSSEO",,Roma,Roma,,,,,NULL,,1917
3097,"ALES SPA - CASTEL SANT'ANGELO",,Roma,Roma,,,,,NULL,,1917
3098,"ALES SPA - UFFICI ALES",,NULL,NULL,,,,NULL,NULL,NULL,1917
3099,"ALES SPA - DIREZ. REG. MUSEI",,Roma,Roma,,,,,NULL,,1917
3100,"ALES SPA - PANTHEON",,Roma,Roma,,,,,NULL,,1917
3101,"ALES SPA - UFFICI MIN. PNRR",,NULL,NULL,,,,NULL,NULL,NULL,1917
3102,"ALES SPA - SEGR.DIR.MINISTRO",,NULL,NULL,,,,NULL,NULL,NULL,1917
3103,"ALES STORE",,Roma,Roma,,,,,NULL,,1918
3104,"ALFANI CERAMICHE - CIVITAVECCHIA",,Civitavecchia,Roma,,,,,NULL,,1919
3105,ALIANTE,,NULL,NULL,,,,NULL,NULL,NULL,1920
3106,ALICAM,,NULL,NULL,,,,NULL,NULL,NULL,1921
3107,"ALICE NOVA - CIVITAVECCHIA",,Civitavecchia,Roma,,,,,NULL,,1922
3108,"ALIEN TT ITALY",,NULL,NULL,,,,NULL,NULL,NULL,1923
