id,description,alternativeDescription,city,province,cap,address,phone,piva,notes,mail,sector_id
1902,A.I.C.C.R.E.,,NULL,NULL,,,,NULL,aiccre@pec.aiccre.eu,aiccre@pec.aiccre.eu,1
1903,"A.P.L. SRL",,NULL,NULL,,,,NULL,APLSRL@PEC.IT,APLSRL@PEC.IT,10
1904,"A.S. ROMA S.R.L.",,NULL,NULL,,"PZZA.LE DINO VIOLA 1   00128 ROMA RM",06501911,NULL,ASROMASPA@LEGALMAIL.IT,ASROMASPA@LEGALMAIL.IT,10
1905,"ABACO SERVIZI S.R.L.",,NULL,NULL,,,,NULL,abacoservizimultimediali@pec.it,abacoservizimultimediali@pec.it,10
1906,"ACCOR HOSPITALITY ITALIA S.R.L.",,NULL,NULL,,,,,,accorhospitalityitaliasrl@pec.it,8
1907,ACLI,,NULL,NULL,,"V.GIUSEPPE MARCORA, 18/20",,,,info@acsis.acli.it,1
1908,"ACQUA E TERME DI FIUGGI S.P.A.",,Fiuggi,Frosinone,"03014 ","PIAZZA MARTIRI DI NASSIRIYA, snc",,,,ACQUATERMEFIUGGI@LEGALMAIL.IT,16
1909,"ACSIS S.R.L. (unione sportiva acli)",,Roma,Roma,00153,"VIA G. MARCORA, 18/20",,,"ACSISSRL@LEGALMAIL.IT; info@acsis.acli.it.",ACSISSRL@LEGALMAIL.IT,1
1910,"ADLER SYSTEM SERVICE SRL",,NULL,NULL,,"Viale Cesare Battisti, 29
24047 - Treviglio (BG)",,NULL,ADLERSYSTEMSERVICE@ARUBAPEC.IT,ADLERSYSTEMSERVICE@ARUBAPEC.IT,10
1911,"ADMIRAL PAY S.R.L.",,NULL,NULL,,,,NULL,ADMIRALPAYSRL@POSTALEG.IT,ADMIRALPAYSRL@POSTALEG.IT,10
1912,"ADR INTERNATIONAL S.R.L.",,NULL,NULL,,"Viale Raf Vallone 5   
Roma (RM)",,NULL,adrinternationalsrls@legalmail.it,adrinternationalsrls@legalmail.it,10
1913,"AEQUA ROMA S.P.A.",,NULL,NULL,,,,NULL,direzione.generale@pec.aequaroma.it,direzione.generale@pec.aequaroma.it,10
1914,"AGRI RETE SERVICE SOC. COOP.",,NULL,NULL,,"Via Torino 146, 00184 Roma","06 469781",NULL,ARS@PEC.CONFCOOPERATIVE.IT,ARS@PEC.CONFCOOPERATIVE.IT,10
1915,"ALBA SERVICE SOC.COOP.",,NULL,NULL,,"VIA GAETANO DONIZETTI,8
00041 ALBANO LAZIALE (RM)",,NULL,ALBASERVICECOOP@PEC.IT,ALBASERVICECOOP@PEC.IT,1
1916,"ALBA SRL",,"Trevignano Romano",Roma,00069,"VIALE G. GARIBALDI 141",,10966651001,,societaalbasrl@legalmail.it,1
1917,"ALES SPA ARTE LAVORO E SERVIZI",,NULL,NULL,,"Via Nazionale, 243 00184 Roma (RM)",,,,infoales-spa@pec.it,10
1918,"ALES STORE S.R.L.",,NULL,NULL,,"P.ZZA OTTAVIANO VIMERCATI 55
ROMA (RM)",,NULL,ALESSTORE@PECPVS.IT,ALESSTORE@PECPVS.IT,10
1919,"ALFANI CERAMICHE SRL",,NULL,NULL,,"VIA AURELIA KM 44300   00052 CERVETERI RM",,,"Note
Note1
Note2
",ALFANICERAMICHE@PEC.CGN.IT,10
1920,"ALIANTE S.R.L.",,NULL,NULL,,,,NULL,ALIANTE@MYMAIL-PEC.IT,ALIANTE@MYMAIL-PEC.IT,10
1921,"ALICAM SRL",,NULL,NULL,,"L.GO DURANTI LIDO,5
00128 ROMA (RM)",,NULL,ALICAMSRL@LEGALMAIL.IT,ALICAMSRL@LEGALMAIL.IT,1
1922,"ALICE NOVA COOP. SOCIALE",,NULL,NULL,,"STRADA VICINALE DI SCORTIGATTI 73/75VITERBO (VT)",,,,INFO.ALICENOVA@PEC.IT,10
