id,description
1,A.I.S.S.
2,"Commercio - Confcommercio"
3,"Commercio - Confesercenti"
4,"ENTI ED ISTITUZIONI PRIVATE - UNEBA"
5,"Farmacie Municipalizzate"
6,"Farmacie Rurali"
7,"Farmacie Urbane"
8,"Multiservizi - Servizi di Pulizia"
9,"Portieri e Custodi"
10,"S.A.F.I. - Servizi Ausiliari, Fiduciari e Integrati"
11,"Studi Professionali"
12,"Turismo Confcommercio - Agenzie di viaggi"
13,"Turismo Confcommercio - Aziende alberghiere"
14,"Turismo Confcommercio - Pubblici Esercizi"
15,"Turismo Confesercenti - Alberghi"
16,"Turismo Confindustria - Alberghi"
17,"Vigilanza Privata"
18,BIANCO
19,"Colf e Badanti"
